time,latitude,longitude,depth,mag,wilayah
2008-12-01 03:39:38.682466+00:00,-2.8950477,102.8905,10,4.1548967,"Southern Sumatra, Indonesia"
2008-12-01 14:20:23.066091+00:00,-8.486413,107.84738,10,4.2934518,"Java, Indonesia"
2008-12-01 18:06:34.216411+00:00,-1.3390365,97.242912,10,4.877618,"Southwest of Sumatra, Indonesia"
2008-12-02 09:10:57.059701+00:00,-2.3149281,140.23582,5,4.7863489,Near North Coast of Irian Jaya
2008-12-02 13:18:13.069447+00:00,2.8646703,128.60196,186,4.6915832,"Halmahera, Indonesia"
2008-12-03 15:28:12.909981+00:00,2.4452379,126.0284,10,4.2460683,Northern Molucca Sea
2008-12-03 23:23:32.322830+00:00,3.0046763,119.44996,385,4.572373,Celebes Sea
2008-12-04 17:05:07.909424+00:00,-1.6431708,115.12437,10,4.8063014,Borneo
2008-12-04 21:01:30.358978+00:00,4.148716,96.618492,10,4.3904553,"Northern Sumatra, Indonesia"
2008-12-04 23:13:33.878769+00:00,3.554419,122.48712,577,4.99661,Celebes Sea
2008-12-05 10:24:20.753273+00:00,-2.9838173,128.35095,5,4.4328165,Ceram Sea
2008-12-05 13:51:48.072616+00:00,2.8451722,95.590935,10,4.3030037,Off West Coast of Northern Sumatra
2008-12-06 00:13:38.292944+00:00,4.9429178,126.99512,10,4.9031308,"Talaud Islands, Indonesia"
2008-12-06 04:18:31.622159+00:00,-0.13005644,115.20719,10,5.5342147,Borneo
2008-12-06 04:22:30.528332+00:00,-9.1990051,110.40629,10,4.1436586,"South of Java, Indonesia"
2008-12-06 04:35:02.847692+00:00,-9.1321888,110.45811,10,3.953271,"South of Java, Indonesia"
2008-12-06 06:57:49.012654+00:00,-6.0366187,108.35449,10,4.0248668,"Java, Indonesia"
2008-12-06 10:48:02.559593+00:00,0.66904557,120.6467,10,4.9690575,"Minahassa Peninsula, Sulawesi"
2008-12-06 10:55:26.662830+00:00,-7.5559468,124.73927,404,6.2996868,Banda Sea
2008-12-06 13:18:00.452565+00:00,-6.6851416,130.83203,127,4.5525827,Banda Sea
2008-12-06 15:22:14.687896+00:00,-7.8963504,117.6839,10,4.4046906,Bali Sea
2008-12-06 23:45:22.191179+00:00,0.66510463,115.61882,10,5.2435026,Borneo
2008-12-07 05:41:53.554224+00:00,-2.8284009,139.76054,87,4.545098,Near North Coast of Irian Jaya
2008-12-07 08:05:07.658540+00:00,-2.919565,119.72721,5,3.4828896,"Sulawesi, Indonesia"
2008-12-07 13:46:15.570297+00:00,-0.33603501,121.58867,589,4.2246185,"Minahassa Peninsula, Sulawesi"
2008-12-07 14:36:59.423248+00:00,-8.661747,130.18259,10,4.6520765,"Tanimbar Islands Reg., Indonesia"
2008-12-07 23:51:17.765042+00:00,3.3509326,98.395691,319,4.5359327,"Northern Sumatra, Indonesia"
2008-12-08 01:01:05.904658+00:00,-3.0819666,119.82755,5,3.8875936,"Sulawesi, Indonesia"
2008-12-08 02:10:16.126549+00:00,-7.9291816,105.02912,215,3.5636257,"Java, Indonesia"
2008-12-08 10:20:35.738143+00:00,-8.8373985,128.95892,10,4.8460332,Timor Sea
2008-12-08 14:50:47.534116+00:00,-0.64589649,116.92802,10,4.9359254,Borneo
2008-12-08 19:20:34.666532+00:00,-4.2202358,122.7376,10,4.1569986,"Sulawesi, Indonesia"
2008-12-09 04:46:02.385379+00:00,3.9384694,107.73373,10,6.2912578,South China Sea
2008-12-09 04:49:32.689539+00:00,1.7631687,126.56114,10,4.3487971,Northern Molucca Sea
2008-12-09 05:33:16.822021+00:00,1.2500634,126.98014,64,5.0690771,Northern Molucca Sea
2008-12-09 05:40:25.461890+00:00,1.2358139,126.7529,10,4.8268098,Northern Molucca Sea
2008-12-09 05:43:20.299240+00:00,-5.9145308,115.6198,10,4.4023114,Java Sea
2008-12-09 06:31:31.420388+00:00,4.1081505,121.84761,10,6.0939295,Celebes Sea
2008-12-09 07:00:43.519995+00:00,2.9017427,109.74889,330,5.0471854,South China Sea
