datetime,latitude,longitude,magnitude,depth,dirasakan,wilayah
2026-06-18 04:53:42+00:00,-1.12,120.14,3.2,5.0,II-III SIgi,Pusat gempa berada di darat 41 km Timur Laut Sigi
2026-06-18 05:02:37+00:00,-1.16,120.1,2.2,5.0,II Sigi,Pusat gempa berada di darat 35 km Timur Laut Sigi
2026-06-18 06:18:14+00:00,-1.23,120.22,2.2,5.0,II Sigi,Pusat gempa berada di darat 42 km timur laut Sigi
2026-06-18 10:08:13+00:00,4.75,96.76,2.7,5.0,II-III Bener Meriah,Pusat gempa berada di darat 11 km barat Kabupaten Bener Meriah
2026-06-18 12:17:00+00:00,5.5600000000000005,125.32,3.7,10.0,III Marore,Pusat gempa berada di laut 214 km barat laut Pulau Karatung
2026-06-18 13:39:04+00:00,-1.1400000000000001,120.22,4.7,5.0,"III Palu, III Sigi",Pusat gempa berada di darat 46 Km timur laut Sigi
2026-06-18 13:45:08+00:00,1.35,121.32,4.5,10.0,III-IV Tolitoli,Pusat gempa berada di laut 42 Km utara Buol
2026-06-18 16:50:34+00:00,4.77,125.37,4.5,10.0,III-IV Marore,Pusat gempa berada di laut 130 km utara Tahuna-Kep. Sangihe
2026-06-18 20:26:45+00:00,-1.03,120.07,4.4,10.0,"II-III Palu, II-III Sigi",Pusat gempa berada di darat 44 km timur laut Sigi
2026-06-18 20:29:27+00:00,-1.07,120.11,4.0,10.0,"III Palu, III Sigi",Pusat gempa berada di darat 43 km timur laut Sigi
2026-06-18 22:30:04+00:00,-4.08,121.87,2.6,2.0,II-III Kolaka Timur,Pusat gempa berada di darat 9 km Selatan Kolaka Timur
2026-06-19 01:16:34+00:00,-1.17,120.26,3.2,3.0,II Sigi,Pusat gempa berada di darat 49 km timur laut Sigi
2026-06-19 01:53:20+00:00,-1.17,120.01,3.3,4.0,II Sigi,Pusat gempa berada di darat 28 km timur laut Sigi
2026-06-19 11:48:28+00:00,4.74,125.53,3.4,10.0,III Mamore,Pusat gempa berada di laut 126 km utara Tahuna-Kep. Sangihe
2026-06-19 21:56:18+00:00,5.09,125.07,4.0,10.0,II Marore,Pusat gempa berada di laut 171 km Utara Tahuna Kep. Sangihe
2026-06-19 22:33:17+00:00,-1.15,120.02,4.6,5.0,"II-III Sigi, II-III Palu, II-III Parigi Moutong",Pusat gempa berada di darat 31 km Timur Laut Sigi
2026-06-20 01:40:08+00:00,-4.95,102.95,5.0,23.0,"III Kaur, III Bengkulu Selatan, III Seluma, II-III Argamakmur, II-III Kota Bengkulu, II Rejang Lebong, II Kepahiang",Pusat gempa berada di laut 47 km barat daya Kaur
2026-06-20 03:03:59+00:00,-1.13,120.0,2.7,5.0,II-III Sigi,Pusat gempa berada di darat 31 km timur laut Sigi
2026-06-20 03:25:59+00:00,-1.26,99.81,4.3,23.0,"II-III Padang, II-III Padang Pariaman",Pusat gempa berada di laut 79 km barat daya Pariaman
2026-06-20 09:10:46+00:00,-1.17,120.06,3.1,3.0,II-III Sigi,Pusat gempa berada di darat 32 km Timur Laut Sigi
